tract,pop
4124100,3897
4124700,3550
4125700,3203
4126500,1660
4126700,4057
4127700,3633
4128300,73
4129102,3341
4129103,3566
4129104,4102
4130100,3791
4133300,3679
4133900,1302
4134100,3259
4134700,9572
4136700,5879
4137700,6606
4138501,4743
4138502,72
4139900,1744
4140300,2302
4140901,914
4140902,2603
4141700,4475
4142900,3624
4143500,2199
4144100,2926
4144700,2927
4145101,1360
4145102,2468
4145900,2772
4146300,3000
4146700,2736
4147100,3341
4147900,4241
4148300,2863
4150701,2930
4150702,3178
4152901,6401
4152902,5126
4155101,1806
4155102,8185
4156700,1790
4157101,7216
4157102,1996
4157901,4800
4157902,3836
4157903,3944
4161700,4297
4162100,6197
4990100,0
5000300,1927
5000600,2408
5000700,4915
5000800,5583
5000900,2112
5001100,3987
5001700,1788
5001800,731
5002001,2504
5002002,3258
5002100,4236
5002700,2217
5002900,5207
5003300,3402
5003600,2510
5003900,2197
5004000,12998
5004700,3863
5005000,3847
5005900,2635
5006400,3550
5006700,2758
5007000,8525
5007400,4693
5007500,3914
5007700,1535
5008100,4301
5008900,0
5009601,4024
5009602,3461
5009700,3925
5010500,5153
5011201,5758
5011202,6428
5011401,3067
5011402,3450
5012100,3065
5012200,3813
5012500,2939
5012804,4259
5012805,3158
5012806,5955
5013201,1558
5013203,5433
5013204,4843
5013301,1633
5013302,3587
5013400,3946
5013800,6535
5014100,2690
5014604,6422
5014605,3836
5014606,6372
5014607,4552
5014608,3510
5014700,3412
5015100,5141
5015400,0
5015601,6330
5015602,3320
5015603,4265
5016901,2970
5017005,4507
5017007,4968
5017008,7388
5017009,4299
5017010,8583
5017011,4549
5017012,4279
5017300,2523
5017600,4815
5017700,7001
5018100,2974
5018701,1807
5018702,7485
5018901,5333
5018902,5064
5019700,1867
5019800,6300
5020100,3572
5020700,6399
5020801,8977
5020803,6463
5020804,5323
5021300,5376
5022300,2880
5022600,8490
5022800,105
5023100,4683
5023900,3250
5024401,5823
5024402,4259
5024700,2702
5024800,4741
5025100,5714
5027301,3820
5027302,3667
5027702,6193
5027704,4108
5027705,5351
5027706,2950
5027900,2137
5029102,2953
5029103,7245
5029104,6735
5030301,4929
5030302,6369
5031901,3265
5031902,4848
5032300,1250
5990100,0
