tract,pop
3016200,2082
3016300,2991
3016400,764
3016500,5141
3016600,2059
3016700,4638
3016800,1510
3016900,4497
3017000,3254
3017100,3749
3017200,2931
3017400,1793
3017500,5
3017600,2295
3017700,0
3017800,2898
3017900,3624
3018000,3193
3018100,3936
3018200,3163
3018300,2500
3018400,2002
3018501,3827
3018600,2124
3018700,1411
3018800,2640
3019000,4782
3019100,2332
3019200,2772
3019300,5628
3019400,3305
3019500,3366
3019600,4353
3019700,3313
3019800,1702
3019900,2929
3020000,2265
3020100,3421
3020200,1874
3020300,1697
3020400,1708
3020500,2469
3020600,2220
3020700,4310
3020800,3048
3021000,3968
3021100,1210
3021200,4643
3021300,4205
3021400,2152
3021500,5307
3021600,4015
3021700,3597
3021800,3761
3021900,3595
3022000,4939
3022100,3609
3022200,4693
3022400,5486
3022600,2516
3022700,3454
3022800,3306
3022900,3395
3023000,4515
3023100,3025
3023200,5699
3023300,5061
3023400,5059
3023500,3928
3023600,5600
3023800,4590
3024000,4693
3024100,2229
3024200,2984
3024300,3786
3024400,3238
3024500,3946
3024600,3256
3024700,2316
3024800,2698
3024900,3823
3025000,1722
3025100,3816
3025200,4786
3025300,2754
3025400,3500
3025500,5102
3025600,3058
3025700,2131
3025800,4597
3025901,2010
3025902,3419
3026000,3649
3026100,4917
3026200,2374
3026300,1868
3026400,4592
3026500,3838
3026600,3733
3026700,3920
3026800,4188
3026900,2770
3027000,2449
3027100,2471
3027200,3480
3027300,2813
3027400,3028
3027500,4180
3027600,3694
3027700,3945
3027800,3220
3027900,3674
3028000,1761
3028100,4193
3028200,2943
3028300,4097
3028400,4003
3028501,428
3028502,2802
3028600,4814
3028700,2991
3028800,3458
3028900,3538
3029000,3920
3029100,3101
3029200,2539
3029300,3106
3029400,2321
3029500,3425
3029600,5546
3029700,3344
3029800,3717
3029900,2579
3030000,4120
3030100,2750
3030200,4214
3030300,4458
3030400,4281
3030500,5549
3030600,2005
3030700,4544
3030800,1949
3030900,1754
3031100,2833
3031300,4648
3031400,4544
3031500,5175
3031701,3433
3031702,3363
3031900,3508
3032100,5001
3032300,3554
3032500,6405
3032600,6948
3032700,2924
3032800,3138
3032900,5582
3033000,4587
3033100,4520
3033300,4085
3033500,3139
3033600,4759
3033700,4105
3033900,4376
3034000,2248
3034100,2607
3034200,6502
3034300,5281
3034500,2647
3034700,3228
3034800,2537
3034900,5403
3035000,3296
3035100,4597
3035200,1246
3035300,5161
3035400,6271
3035500,5253
3035601,2912
3035602,5271
3035700,2506
3035900,5685
3036001,3217
3036002,3930
3036100,2608
3036200,4204
3036300,4108
3036400,2405
3036501,2624
3036502,1255
3036600,4767
3036700,1305
3036900,4923
3037000,4085
3037100,4120
3037300,3784
3037401,4301
3037402,4573
3037500,2910
3037700,3660
3037900,3706
3038100,4763
3038200,5943
3038300,3931
3038500,3422
3038600,3477
3038700,4010
3038800,3841
3038900,2773
3039000,2282
3039100,2303
3039200,2756
3039300,3549
3039400,2441
3039500,3380
3039600,2126
3039700,3389
3039800,2644
3039900,3823
3040000,3069
3040100,3518
3040200,2740
3040300,3538
3040400,2551
3040500,1480
3040600,3184
3040700,14
3040800,3566
3040900,3752
3041000,1773
3041100,3302
3041200,2929
3041300,3822
3041401,1351
3041402,1612
3041500,4064
3041600,2324
3041700,3609
3041800,2359
3041900,3770
3042000,1896
3042100,3920
3042200,3568
3042300,4217
3042400,3666
3042500,3042
3042600,4135
3042700,5074
